utt,spk,partner,logmel_l1,snr_db
p02_u20,p02,ce10.0,0.6674,5.37
p02_u20,p02,demucs,0.3539,-5.78
p02_u20,p02,tstnn,0.4505,-3.72
p02_u21,p02,ce0.0,0.4087,8.11
p02_u21,p02,ce10.0,0.7505,2.58
p02_u21,p02,demucs,0.5902,-8.62
p02_u21,p02,tstnn,0.4893,-5.98
p02_u22,p02,ce0.0,0.2393,12.52
p02_u22,p02,ce10.0,0.6199,5.27
p02_u22,p02,demucs,0.3739,-5.56
p02_u22,p02,tstnn,0.3965,-4.41
p02_u23,p02,ce0.0,0.28,11.67
p02_u23,p02,ce10.0,0.6783,5.09
p02_u23,p02,demucs,0.3536,-5.85
p02_u23,p02,tstnn,0.4597,-4.02
p02_u24,p02,ce0.0,0.2895,11.73
p02_u24,p02,ce10.0,0.6913,5.21
p02_u24,p02,demucs,0.4002,-5.68
p02_u24,p02,tstnn,0.4367,-4.37
p02_u25,p02,ce0.0,0.3874,8.9
p02_u25,p02,ce10.0,0.6582,4.9
p02_u25,p02,demucs,0.3752,-5.42
p02_u25,p02,tstnn,0.4363,-3.9
p02_u26,p02,ce0.0,0.3252,9.43
p02_u26,p02,ce10.0,0.7553,0.83
p02_u26,p02,demucs,0.6583,-8.36
p02_u26,p02,tstnn,0.5017,-6.22
p02_u27,p02,ce0.0,0.3895,9.19
p02_u27,p02,ce10.0,0.6601,4.78
p02_u27,p02,demucs,0.3973,-5.78
p02_u27,p02,tstnn,0.4221,-4.2
p02_u28,p02,ce0.0,0.3446,9.33
p02_u28,p02,ce10.0,0.787,0.54
p02_u28,p02,demucs,0.7197,-9.32
p02_u28,p02,tstnn,0.5429,-6.98
p02_u29,p02,ce0.0,0.377,7.54
p02_u29,p02,ce10.0,0.7642,2.78
p02_u29,p02,demucs,0.6093,-7.63
p02_u29,p02,tstnn,0.4948,-5.77
p02_u30,p02,ce0.0,0.3508,9.51
p02_u30,p02,ce10.0,0.6661,4.31
p02_u30,p02,demucs,0.4413,-6.59
p02_u30,p02,tstnn,0.4301,-4.58
p02_u31,p02,ce0.0,0.2589,11.7
p02_u31,p02,ce10.0,0.6976,4.86
p02_u31,p02,demucs,0.3778,-6.23
p02_u31,p02,tstnn,0.4768,-4.17
p02_u32,p02,ce0.0,0.2769,11.32
p02_u32,p02,ce10.0,0.693,4.87
p02_u32,p02,demucs,0.3948,-5.95
p02_u32,p02,tstnn,0.4434,-3.97
p02_u33,p02,ce0.0,0.51,6.77
p02_u33,p02,ce10.0,0.6685,4.36
p02_u33,p02,demucs,0.4716,-6.07
p02_u33,p02,tstnn,0.4247,-4.77
p02_u34,p02,ce0.0,0.3743,8.57
p02_u34,p02,ce10.0,0.7766,1.57
p02_u34,p02,demucs,0.5976,-8.22
p02_u34,p02,tstnn,0.4711,-6.14
p02_u35,p02,ce0.0,0.3948,8.99
p02_u35,p02,ce10.0,0.7082,2.91
p02_u35,p02,demucs,0.4919,-7.09
p02_u35,p02,tstnn,0.4374,-5.22
p02_u36,p02,ce0.0,0.3056,11.35
p02_u36,p02,ce10.0,0.7682,4.6
p02_u36,p02,demucs,0.4557,-5.99
p02_u36,p02,tstnn,0.5572,-3.96
p02_u37,p02,ce0.0,0.2765,10.99
p02_u37,p02,ce10.0,0.6674,5.02
p02_u37,p02,demucs,0.391,-6.08
p02_u37,p02,tstnn,0.4574,-3.96
p02_u38,p02,ce0.0,0.3287,9.68
p02_u38,p02,ce10.0,0.721,5.07
p02_u38,p02,demucs,0.4756,-6.48
p02_u38,p02,tstnn,0.4863,-4.36
p02_u39,p02,ce0.0,0.2569,12.16
p02_u39,p02,ce10.0,0.6383,5.28
p02_u39,p02,demucs,0.3667,-5.93
p02_u39,p02,tstnn,0.4579,-4.13
p02_u40,p02,ce0.0,0.3548,9.66
p02_u40,p02,ce10.0,0.6248,4.67
p02_u40,p02,demucs,0.4197,-6.7
p02_u40,p02,tstnn,0.4117,-4.14
p02_u41,p02,ce0.0,0.323,10.94
p02_u41,p02,ce10.0,0.65,4.84
p02_u41,p02,demucs,0.406,-6.24
p02_u41,p02,tstnn,0.4347,-3.99
p02_u42,p02,ce0.0,0.3446,9.05
p02_u42,p02,ce10.0,0.7148,4.17
p02_u42,p02,demucs,0.5362,-7.19
p02_u42,p02,tstnn,0.44,-4.98
p02_u43,p02,ce0.0,0.3526,9.13
p02_u43,p02,ce10.0,0.6448,5.02
p02_u43,p02,demucs,0.3806,-5.8
p02_u43,p02,tstnn,0.453,-4.16
p02_u44,p02,ce0.0,0.2892,12.06
p02_u44,p02,ce10.0,0.6926,5.14
p02_u44,p02,demucs,0.4386,-6.16
p02_u44,p02,tstnn,0.4875,-4.11
p02_u45,p02,ce0.0,0.2648,11.47
p02_u45,p02,ce10.0,0.6831,4.97
p02_u45,p02,demucs,0.4072,-5.46
p02_u45,p02,tstnn,0.4639,-4.23
p02_u46,p02,ce0.0,0.3097,12.2
p02_u46,p02,ce10.0,0.6537,5.11
p02_u46,p02,demucs,0.4468,-6.27
