condition,speaker_id,sentence_id,cer
no_se/white/snr_+0dB,p00,u17,0.963
no_se/white/snr_+0dB,p00,u18,0.9219
no_se/white/snr_+0dB,p00,u19,0.6341
no_se/white/snr_+0dB,p00,u20,0.7313
no_se/white/snr_+0dB,p00,u21,0.8627
no_se/white/snr_+0dB,p00,u22,0.8909
no_se/white/snr_+0dB,p00,u23,0.5152
no_se/white/snr_+0dB,p00,u24,0.6939
no_se/white/snr_+0dB,p00,u25,0.7925
no_se/white/snr_+0dB,p00,u26,0.7576
no_se/white/snr_+0dB,p00,u27,0.931
no_se/white/snr_+0dB,p00,u28,1.0182
no_se/white/snr_+0dB,p00,u29,1.434
no_se/white/snr_+0dB,p00,u30,1.0364
no_se/white/snr_+0dB,p00,u31,1.35
no_se/white/snr_+0dB,p00,u32,1.0833
no_se/white/snr_+0dB,p00,u33,1.1026
no_se/white/snr_+0dB,p00,u34,1.2353
no_se/white/snr_+0dB,p00,u35,0.8889
no_se/white/snr_+0dB,p00,u36,0.55
no_se/white/snr_+0dB,p00,u37,0.9831
no_se/white/snr_+0dB,p00,u38,0.9512
no_se/white/snr_+0dB,p00,u39,1.0
no_se/white/snr_+0dB,p00,u40,0.7297
no_se/white/snr_+0dB,p00,u41,0.8667
no_se/white/snr_+0dB,p00,u42,0.8214
no_se/white/snr_+0dB,p00,u43,0.9697
no_se/white/snr_+0dB,p00,u44,0.5902
no_se/white/snr_+0dB,p00,u45,1.0
no_se/white/snr_+0dB,p00,u46,0.7333
no_se/white/snr_+0dB,p00,u47,0.5254
no_se/white/snr_+0dB,p00,u48,0.6667
no_se/white/snr_+0dB,p00,u49,1.0
no_se/white/snr_+10dB,p00,u00,0.4717
no_se/white/snr_+10dB,p00,u01,0.6
no_se/white/snr_+10dB,p00,u02,0.6444
no_se/white/snr_+10dB,p00,u03,0.3548
no_se/white/snr_+10dB,p00,u04,0.5
no_se/white/snr_+10dB,p00,u05,0.4643
no_se/white/snr_+10dB,p00,u06,0.2414
no_se/white/snr_+10dB,p00,u07,0.3889
no_se/white/snr_+10dB,p00,u08,0.5238
no_se/white/snr_+10dB,p00,u09,0.9268
no_se/white/snr_+10dB,p00,u10,0.55
no_se/white/snr_+10dB,p00,u11,0.4286
no_se/white/snr_+10dB,p00,u12,0.5938
no_se/white/snr_+10dB,p00,u13,0.3725
no_se/white/snr_+10dB,p00,u14,0.6078
no_se/white/snr_+10dB,p00,u15,0.6364
no_se/white/snr_+10dB,p00,u16,0.4651
no_se/white/snr_+10dB,p00,u17,0.6852
no_se/white/snr_+10dB,p00,u18,0.5312
no_se/white/snr_+10dB,p00,u19,0.3415
no_se/white/snr_+10dB,p00,u20,0.5672
no_se/white/snr_+10dB,p00,u21,0.5294
no_se/white/snr_+10dB,p00,u22,0.4727
no_se/white/snr_+10dB,p00,u23,0.2576
no_se/white/snr_+10dB,p00,u24,0.3469
no_se/white/snr_+10dB,p00,u25,0.6038
no_se/white/snr_+10dB,p00,u26,0.4242
no_se/white/snr_+10dB,p00,u27,0.5517
no_se/white/snr_+10dB,p00,u28,0.5091
no_se/white/snr_+10dB,p00,u29,0.5094
no_se/white/snr_+10dB,p00,u30,0.4
no_se/white/snr_+10dB,p00,u31,0.6167
no_se/white/snr_+10dB,p00,u32,0.75
no_se/white/snr_+10dB,p00,u33,0.5385
no_se/white/snr_+10dB,p00,u34,0.6765
no_se/white/snr_+10dB,p00,u35,0.6667
no_se/white/snr_+10dB,p00,u36,0.475
no_se/white/snr_+10dB,p00,u37,0.4576
no_se/white/snr_+10dB,p00,u38,0.4146
no_se/white/snr_+10dB,p00,u39,0.5532
no_se/white/snr_+10dB,p00,u40,0.6757
no_se/white/snr_+10dB,p00,u41,0.6
no_se/white/snr_+10dB,p00,u42,0.6071
no_se/white/snr_+10dB,p00,u43,0.4545
no_se/white/snr_+10dB,p00,u44,0.2623
no_se/white/snr_+10dB,p00,u45,0.5333
no_se/white/snr_+10dB,p00,u46,0.5778
