speaker,utterance,no_se,taps_pretrained,enc_best,ce_best
p04,p04_u88,0.46511627906976744,0.18604651162790697,0.26744186046511625,0.18604651162790697
p04,p04_u89,0.4246575342465753,0.2191780821917808,0.2191780821917808,0.2465753424657534
p04,p04_u90,0.3076923076923077,0.3384615384615385,0.3230769230769231,0.2923076923076923
p04,p04_u91,0.41975308641975306,0.2839506172839506,0.2839506172839506,0.24691358024691357
p04,p04_u92,0.45,0.21666666666666667,0.18333333333333332,0.16666666666666666
p04,p04_u93,0.3448275862068966,0.2413793103448276,0.06896551724137931,0.22413793103448276
p04,p04_u94,0.2909090909090909,0.2727272727272727,0.2,0.2
p04,p04_u95,0.5434782608695652,0.2826086956521739,0.2391304347826087,0.17391304347826086
p04,p04_u96,0.23529411764705882,0.16176470588235295,0.19117647058823528,0.1323529411764706
p04,p04_u97,0.43103448275862066,0.25862068965517243,0.22413793103448276,0.1896551724137931
p04,p04_u98,0.2962962962962963,0.12962962962962962,0.24074074074074073,0.09259259259259259
